GENE	G_arboreum%G_a_rep1	G_arboreum%G_a_rep2	G_arboreum_x_raimondii%G_HH_rep1	G_arboreum_x_raimondii%G_HH_rep2	G_raimondii%G_r_rep1	G_raimondii%G_r_rep2
lcl|NC_030667.1_cds_XP_017629254.1_13207	8	0	3	7	14	5
lcl|NC_030667.1_cds_XP_017630430.1_13208	64	52	66	27	29	27
lcl|NC_030667.1_cds_XP_017630432.1_13209	8	5	25	6	24	22
lcl|NC_030667.1_cds_XP_017629255.1_13213	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629256.1_13214	3	3	7	4	13	7
lcl|NC_030667.1_cds_XP_017630431.1_13215	1	2	2	2	3	5
lcl|NC_030667.1_cds_XP_017631657.1_13216	6	0	7	3	9	17
lcl|NC_030667.1_cds_XP_017629257.1_13217	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629259.1_13218	3	1	2	0	4	1
lcl|NC_030667.1_cds_XP_017629260.1_13219	12	7	6	5	6	8
lcl|NC_030667.1_cds_XP_017629261.1_13220	8	9	33	16	34	29
lcl|NC_030667.1_cds_XP_017629262.1_13221	13	9	10	1	4	3
lcl|NC_030667.1_cds_XP_017629263.1_13222	0	0	5	0	2	4
lcl|NC_030667.1_cds_XP_017629264.1_13223	0	0	1	1	1	0
lcl|NC_030667.1_cds_XP_017629266.1_13224	46	23	27	18	23	20
lcl|NC_030667.1_cds_XP_017630656.1_13225	134	84	37	26	24	21
lcl|NC_030667.1_cds_XP_017629267.1_13230	23	6	22	10	19	22
lcl|NC_030667.1_cds_XP_017629268.1_13231	13	10	43	30	59	42
lcl|NC_030667.1_cds_XP_017630662.1_13232	6	5	21	26	35	29
lcl|NC_030667.1_cds_XP_017627478.1_13237	69	41	73	38	29	18
lcl|NC_030667.1_cds_XP_017631421.1_13238	265	142	232	179	263	210
lcl|NC_030667.1_cds_XP_017629596.1_13239	34	21	11	2	2	9
lcl|NC_030667.1_cds_XP_017629269.1_13240	1	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017630101.1_13241	0	0	1	1	0	0
lcl|NC_030667.1_cds_XP_017629975.1_13242	41	17	17	14	5	2
lcl|NC_030667.1_cds_XP_017631571.1_13243	176	121	111	104	154	71
lcl|NC_030667.1_cds_XP_017629501.1_13244	12	2	9	9	1	2
lcl|NC_030667.1_cds_XP_017629692.1_13245	0	0	0	1	0	0
lcl|NC_030667.1_cds_XP_017629270.1_13246	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629271.1_13247	13	5	38	20	56	57
lcl|NC_030667.1_cds_XP_017629272.1_13248	17	7	13	14	27	9
lcl|NC_030667.1_cds_XP_017631466.1_13250	245	141	102	53	28	35
lcl|NC_030667.1_cds_XP_017629499.1_13251	57	44	77	62	58	38
lcl|NC_030667.1_cds_XP_017629492.1_13252	9	7	16	19	21	2
lcl|NC_030667.1_cds_XP_017629810.1_13253	105	67	165	263	49	32
lcl|NC_030667.1_cds_XP_017629274.1_13254	31	12	4	2	0	0
lcl|NC_030667.1_cds_XP_017629275.1_13255	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017630137.1_13256	0	0	2	0	0	0
lcl|NC_030667.1_cds_XP_017628287.1_13257	16	10	18	9	3	4
lcl|NC_030667.1_cds_XP_017628410.1_13258	19	16	14	19	19	11
lcl|NC_030667.1_cds_XP_017628200.1_13259	88	69	114	104	94	45
lcl|NC_030667.1_cds_XP_017629276.1_13260	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017627680.1_13261	128	76	79	56	98	75
lcl|NC_030667.1_cds_XP_017630678.1_13262	523	292	534	312	501	441
lcl|NC_030667.1_cds_XP_017629277.1_13263	85	57	5	7	2	0
lcl|NC_030667.1_cds_XP_017627697.1_13264	61	35	39	25	4	7
lcl|NC_030667.1_cds_XP_017629707.1_13265	3	1	2	2	0	0
lcl|NC_030667.1_cds_XP_017629708.1_13266	2	3	2	1	0	0
lcl|NC_030667.1_cds_XP_017629709.1_13267	3	3	1	4	0	0
lcl|NC_030667.1_cds_XP_017629278.1_13269	17	10	4	5	0	0
lcl|NC_030667.1_cds_XP_017629279.1_13270	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017630146.1_13271	4	3	1	1	0	0
lcl|NC_030667.1_cds_XP_017629944.1_13275	4	0	5	8	0	0
lcl|NC_030667.1_cds_XP_017629947.1_13276	1	1	3	0	0	0
lcl|NC_030667.1_cds_XP_017629966.1_13277	9	7	10	22	31	11
lcl|NC_030667.1_cds_XP_017629282.1_13279	4	0	5	1	0	0
lcl|NC_030667.1_cds_XP_017629283.1_13280	3	1	7	4	6	1
lcl|NC_030667.1_cds_XP_017629284.1_13281	9	5	30	21	5	2
lcl|NC_030667.1_cds_XP_017629286.1_13282	2	1	5	4	20	18
lcl|NC_030667.1_cds_XP_017629807.1_13283	65	30	25	27	33	36
lcl|NC_030667.1_cds_XP_017627342.1_13284	16	16	28	37	19	9
lcl|NC_030667.1_cds_XP_017629287.1_13286	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629288.1_13287	0	0	0	0	0	1
lcl|NC_030667.1_cds_XP_017629428.1_13288	15	1	1	3	1	0
lcl|NC_030667.1_cds_XP_017629289.1_13289	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017628409.1_13290	256	134	150	122	379	325
lcl|NC_030667.1_cds_XP_017629290.1_13291	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629646.1_13292	281	153	143	160	47	47
lcl|NC_030667.1_cds_XP_017627266.1_13293	219	112	92	157	200	104
lcl|NC_030667.1_cds_XP_017629291.1_13294	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629292.1_13295	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017627847.1_13296	306	197	222	205	326	146
lcl|NC_030667.1_cds_XP_017630027.1_13297	11	4	273	297	574	432
lcl|NC_030667.1_cds_XP_017629294.1_13298	0	1	0	0	0	0
lcl|NC_030667.1_cds_XP_017629892.1_13299	113	52	8	4	4	2
lcl|NC_030667.1_cds_XP_017629891.1_13300	171	91	24	10	46	53
lcl|NC_030667.1_cds_XP_017629836.1_13301	6	6	149	104	331	239
lcl|NC_030667.1_cds_XP_017630230.1_13302	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017630167.1_13303	3	2	2	0	5	3
lcl|NC_030667.1_cds_XP_017629490.1_13304	57	25	26	28	22	13
lcl|NC_030667.1_cds_XP_017631205.1_13306	137	86	161	125	135	88
lcl|NC_030667.1_cds_XP_017629942.1_13308	12	7	26	3	22	20
lcl|NC_030667.1_cds_XP_017629295.1_13309	4	1	1	0	25	14
lcl|NC_030667.1_cds_XP_017629297.1_13310	1	3	0	0	0	0
lcl|NC_030667.1_cds_XP_017629298.1_13311	0	0	1	0	0	0
lcl|NC_030667.1_cds_XP_017630109.1_13312	44	39	0	2	0	0
lcl|NC_030667.1_cds_XP_017627811.1_13313	15	12	7	6	11	10
lcl|NC_030667.1_cds_XP_017629299.1_13314	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017628128.1_13315	39	11	42	18	85	64
lcl|NC_030667.1_cds_XP_017629300.1_13316	61	33	53	38	30	38
lcl|NC_030667.1_cds_XP_017628015.1_13317	34	18	63	64	52	30
lcl|NC_030667.1_cds_XP_017629301.1_13318	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629303.1_13319	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017627674.1_13320	284	167	271	243	196	117
lcl|NC_030667.1_cds_XP_017629518.1_13321	40	25	49	36	49	31
lcl|NC_030667.1_cds_XP_017629683.1_13322	19	9	40	16	40	28
lcl|NC_030667.1_cds_XP_017630563.1_13323	291	169	368	242	233	177
lcl|NC_030667.1_cds_XP_017627772.1_13325	58	39	74	55	48	38
lcl|NC_030667.1_cds_XP_017627171.1_13326	13	19	15	12	3	2
lcl|NC_030667.1_cds_XP_017627172.1_13327	21	15	22	19	2	3
lcl|NC_030667.1_cds_XP_017631066.1_13328	445	278	906	769	726	427
lcl|NC_030667.1_cds_XP_017629304.1_13329	13	0	38	30	73	56
lcl|NC_030667.1_cds_XP_017629305.1_13330	18	2	62	53	119	89
lcl|NC_030667.1_cds_XP_017629306.1_13331	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017630096.1_13332	9	11	52	76	8	3
lcl|NC_030667.1_cds_XP_017629308.1_13333	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629309.1_13334	4	4	7	2	0	0
lcl|NC_030667.1_cds_XP_017630879.1_13335	0	0	1	0	0	0
lcl|NC_030667.1_cds_XP_017629310.1_13336	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629311.1_13337	6	6	9	11	0	0
lcl|NC_030667.1_cds_XP_017629314.1_13339	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629903.1_13340	1	0	0	1	0	0
lcl|NC_030667.1_cds_XP_017629315.1_13341	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017630119.1_13342	4	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629316.1_13343	0	0	0	0	0	1
lcl|NC_030667.1_cds_XP_017629317.1_13344	13	6	1	1	0	0
lcl|NC_030667.1_cds_XP_017629863.1_13346	28	12	32	23	11	7
lcl|NC_030667.1_cds_XP_017629319.1_13347	31	14	72	64	43	40
lcl|NC_030667.1_cds_XP_017629320.1_13348	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017630445.1_13349	14	15	3	5	2	0
lcl|NC_030667.1_cds_XP_017630444.1_13351	498	309	247	238	209	139
lcl|NC_030667.1_cds_XP_017630714.1_13352	269	240	302	222	160	115
lcl|NC_030667.1_cds_XP_017627167.1_13353	29	17	30	28	22	16
lcl|NC_030667.1_cds_XP_017627168.1_13354	29	18	28	20	24	14
lcl|NC_030667.1_cds_XP_017629321.1_13355	0	0	1	1	0	0
lcl|NC_030667.1_cds_XP_017629322.1_13356	8	6	14	8	3	1
lcl|NC_030667.1_cds_XP_017629323.1_13357	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629324.1_13358	19	3	12	8	3	0
lcl|NC_030667.1_cds_XP_017629326.1_13359	0	0	1	1	0	0
lcl|NC_030667.1_cds_XP_017629327.1_13360	1	5	2	1	0	4
lcl|NC_030667.1_cds_XP_017629328.1_13361	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017631511.1_13362	57	36	33	24	6	6
lcl|NC_030667.1_cds_XP_017631514.1_13363	23	9	11	5	1	5
lcl|NC_030667.1_cds_XP_017629330.1_13364	1	0	1	2	1	1
lcl|NC_030667.1_cds_XP_017629331.1_13365	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629332.1_13366	10	4	7	4	2	3
lcl|NC_030667.1_cds_XP_017629333.1_13367	0	0	0	0	0	1
lcl|NC_030667.1_cds_XP_017629334.1_13368	6	6	5	0	0	0
lcl|NC_030667.1_cds_XP_017629335.1_13369	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629336.1_13370	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629338.1_13371	9	12	4	6	0	0
lcl|NC_030667.1_cds_XP_017629339.1_13372	0	1	3	2	0	1
lcl|NC_030667.1_cds_XP_017629340.1_13373	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017631093.1_13374	116	56	75	73	579	345
lcl|NC_030667.1_cds_XP_017631094.1_13375	146	78	120	95	98	79
lcl|NC_030667.1_cds_XP_017627937.1_13376	75	53	94	47	42	22
lcl|NC_030667.1_cds_XP_017629414.1_13377	51	46	121	150	160	141
lcl|NC_030667.1_cds_XP_017629418.1_13378	3	0	1	0	0	0
lcl|NC_030667.1_cds_XP_017629420.1_13379	17	19	3	18	0	0
lcl|NC_030667.1_cds_XP_017629341.1_13381	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629419.1_13382	5	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629417.1_13383	38	33	221	165	211	81
lcl|NC_030667.1_cds_XP_017629342.1_13384	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017629343.1_13385	0	0	4	2	5	3
lcl|NC_030667.1_cds_XP_017629416.1_13386	41	31	57	18	68	52
lcl|NC_030667.1_cds_XP_017629422.1_13387	313	220	324	322	465	305
lcl|NC_030667.1_cds_XP_017629426.1_13390	30	26	30	31	57	29
lcl|NC_030667.1_cds_XP_017629606.1_13392	21	2	22	65	67	24
lcl|NC_030667.1_cds_XP_017629990.1_13393	15	26	23	19	13	8
lcl|NC_030667.1_cds_XP_017629957.1_13394	4	2	2	1	5	0
lcl|NC_030667.1_cds_XP_017627867.1_13395	153	87	99	94	171	121
lcl|NC_030667.1_cds_XP_017629514.1_13397	2	1	0	1	0	0
lcl|NC_030667.1_cds_XP_017627244.1_13398	1007	845	1112	1060	1059	515
lcl|NC_030667.1_cds_XP_017629973.1_13399	1	0	3	2	1	3
lcl|NC_030667.1_cds_XP_017629449.1_13400	63	32	32	41	35	21
lcl|NC_030667.1_cds_XP_017631444.1_13401	820	594	1016	874	868	365
lcl|NC_030667.1_cds_XP_017629637.1_13402	25	19	47	53	28	7
lcl|NC_030667.1_cds_XP_017629932.1_13403	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017627843.1_13404	239	135	189	200	161	90
lcl|NC_030667.1_cds_XP_017629346.1_13405	6	2	3	3	1	0
lcl|NC_030667.1_cds_XP_017630983.1_13406	136	90	170	73	93	63
lcl|NC_030667.1_cds_XP_017631497.1_13407	102	52	101	81	103	44
lcl|NC_030667.1_cds_XP_017631498.1_13408	89	58	81	87	89	50
lcl|NC_030667.1_cds_XP_017627750.1_13409	134	77	193	176	221	94
lcl|NC_030667.1_cds_XP_017629804.1_13412	16	7	29	26	12	12
lcl|NC_030667.1_cds_XP_017627571.1_13414	320	192	378	342	200	150
lcl|NC_030667.1_cds_XP_017627871.1_13415	376	242	151	112	163	120
lcl|NC_030667.1_cds_XP_017627713.1_13417	54	38	55	86	57	56
lcl|NC_030667.1_cds_XP_017627710.1_13418	2	1	0	1	1	0
lcl|NC_030667.1_cds_XP_017629347.1_13420	4	5	3	0	7	2
lcl|NC_030667.1_cds_XP_017631505.1_13421	47	20	38	34	62	54
lcl|NC_030667.1_cds_XP_017631506.1_13422	13	2	18	36	9	7
lcl|NC_030667.1_cds_XP_017628339.1_13423	77	62	93	46	17	15
lcl|NC_030667.1_cds_XP_017631423.1_13424	767	519	439	352	654	470
lcl|NC_030667.1_cds_XP_017629348.1_13425	0	0	1	0	0	0
lcl|NC_030667.1_cds_XP_017629875.1_13426	0	1	19	20	0	0
lcl|NC_030667.1_cds_XP_017630074.1_13427	6	6	9	5	0	1
lcl|NC_030667.1_cds_XP_017629874.1_13428	37	21	22	8	40	30
lcl|NC_030667.1_cds_XP_017631228.1_13429	152	95	247	151	153	111
lcl|NC_030667.1_cds_XP_017631553.1_13432	291	157	253	170	161	135
lcl|NC_030667.1_cds_XP_017631650.1_13433	320	284	282	66	248	200
lcl|NC_030667.1_cds_XP_017629349.1_13434	0	0	1	1	1	3
lcl|NC_030667.1_cds_XP_017629910.1_13435	38	16	10	21	47	31
lcl|NC_030667.1_cds_XP_017627836.1_13436	23	18	19	15	16	10
lcl|NC_030667.1_cds_XP_017627388.1_13437	5	2	11	6	13	8
lcl|NC_030667.1_cds_XP_017631658.1_13438	61	49	46	30	59	45
lcl|NC_030667.1_cds_XP_017627684.1_13442	191	113	217	110	114	81
lcl|NC_030667.1_cds_XP_017630761.1_13444	327	199	343	175	348	254
lcl|NC_030667.1_cds_XP_017627461.1_13445	12	9	1	2	0	0
lcl|NC_030667.1_cds_XP_017629873.1_13446	1	2	0	0	0	0
lcl|NC_030667.1_cds_XP_017629872.1_13447	2	1	0	0	0	0
lcl|NC_030667.1_cds_XP_017629350.1_13448	0	1	2	0	0	0
lcl|NC_030667.1_cds_XP_017631265.1_13449	63	29	37	39	32	38
lcl|NC_030667.1_cds_XP_017630723.1_13450	20	14	23	29	34	41
lcl|NC_030667.1_cds_XP_017630722.1_13451	16	10	20	22	35	31
lcl|NC_030667.1_cds_XP_017628185.1_13452	56	43	40	27	57	40
lcl|NC_030667.1_cds_XP_017628183.1_13454	56	39	45	31	53	29
lcl|NC_030667.1_cds_XP_017629351.1_13455	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017630870.1_13456	490	299	220	186	195	140
lcl|NC_030667.1_cds_XP_017630872.1_13458	319	184	149	137	122	82
lcl|NC_030667.1_cds_XP_017630869.1_13459	77	40	81	61	158	109
lcl|NC_030667.1_cds_XP_017629937.1_13460	4	4	2	8	6	1
lcl|NC_030667.1_cds_XP_017628138.1_13461	39	15	26	18	26	12
lcl|NC_030667.1_cds_XP_017628139.1_13462	15	10	14	11	15	9
lcl|NC_030667.1_cds_XP_017628263.1_13463	220	78	230	171	39	14
lcl|NC_030667.1_cds_XP_017628063.1_13464	15	11	10	3	3	5
lcl|NC_030667.1_cds_XP_017628064.1_13465	40	15	31	27	32	37
lcl|NC_030667.1_cds_XP_017629751.1_13466	36	16	25	18	11	9
lcl|NC_030667.1_cds_XP_017630122.1_13467	2	2	1	2	9	4
lcl|NC_030667.1_cds_XP_017630449.1_13468	96	54	57	47	50	37
lcl|NC_030667.1_cds_XP_017630447.1_13471	1964	1102	830	836	200	130
lcl|NC_030667.1_cds_XP_017629532.1_13473	1556	1071	567	646	3254	2087
lcl|NC_030667.1_cds_XP_017627767.1_13476	1651	802	733	650	2185	1736
lcl|NC_030667.1_cds_XP_017630091.1_13477	10	13	9	12	17	5
lcl|NC_030667.1_cds_XP_017627382.1_13479	120	68	65	37	84	47
lcl|NC_030667.1_cds_XP_017627380.1_13480	115	65	62	31	73	53
lcl|NC_030667.1_cds_XP_017631325.1_13481	1323	877	627	659	933	580
lcl|NC_030667.1_cds_XP_017629580.1_13482	225	151	244	311	281	137
lcl|NC_030667.1_cds_XP_017631519.1_13483	46	31	27	20	0	0
lcl|NC_030667.1_cds_XP_017630193.1_13489	1	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017630062.1_13490	9	6	2	14	5	1
lcl|NC_030667.1_cds_XP_017629605.1_13491	2	1	4	4	0	0
lcl|NC_030667.1_cds_XP_017627926.1_13492	9	8	9	6	2	0
lcl|NC_030667.1_cds_XP_017630986.1_13493	405	223	412	265	247	194
lcl|NC_030667.1_cds_XP_017630988.1_13495	11	6	7	11	26	15
lcl|NC_030667.1_cds_XP_017631396.1_13497	451	309	313	470	147	133
lcl|NC_030667.1_cds_XP_017629791.1_13498	0	2	4	1	0	0
lcl|NC_030667.1_cds_XP_017629761.1_13499	11	14	13	34	8	5
lcl|NC_030667.1_cds_XP_017629520.1_13500	5	3	6	45	2	6
lcl|NC_030667.1_cds_XP_017629805.1_13502	1	0	2	0	0	0
lcl|NC_030667.1_cds_XP_017631713.1_13505	229	159	267	251	248	148
lcl|NC_030667.1_cds_XP_017631493.1_13508	276	182	208	187	178	125
lcl|NC_030667.1_cds_XP_017631289.1_13509	336	203	442	508	595	335
lcl|NC_030667.1_cds_XP_017627726.1_13510	46	25	49	34	11	14
lcl|NC_030667.1_cds_XP_017627510.1_13515	11	9	8	10	14	7
lcl|NC_030667.1_cds_XP_017627511.1_13516	72	57	34	41	22	23
lcl|NC_030667.1_cds_XP_017630046.1_13517	2	2	19	0	2	0
lcl|NC_030667.1_cds_XP_017631351.1_13518	584	356	251	226	349	260
lcl|NC_030667.1_cds_XP_017631354.1_13521	82	42	57	67	71	55
lcl|NC_030667.1_cds_XP_017631380.1_13522	214	169	424	288	159	124
lcl|NC_030667.1_cds_XP_017631382.1_13524	81	0	279	334	229	132
lcl|NC_030667.1_cds_XP_017630626.1_13526	38	22	49	34	56	41
lcl|NC_030667.1_cds_XP_017630632.1_13531	39	24	59	31	57	39
lcl|NC_030667.1_cds_XP_017630634.1_13533	50	31	7	6	0	0
lcl|NC_030667.1_cds_XP_017630212.1_13534	0	0	0	0	0	0
lcl|NC_030667.1_cds_XP_017627765.1_13537	55	29	26	17	26	21
lcl|NC_030667.1_cds_XP_017631224.1_13539	220	119	199	161	147	88
lcl|NC_030667.1_cds_XP_017627688.1_13540	96	56	49	58	91	61
lcl|NC_030668.1_cds_XP_017633716.1_13541	972	721	1590	1063	947	738
lcl|NC_030668.1_cds_XP_017631831.1_13542	66	31	38	37	45	31
lcl|NC_030668.1_cds_XP_017631833.1_13544	58	31	35	35	35	16
lcl|NC_030668.1_cds_XP_017631834.1_13545	33	18	19	27	31	21
lcl|NC_030668.1_cds_XP_017632427.1_13546	0	0	0	0	0	0
lcl|NC_030668.1_cds_XP_017632428.1_13547	0	0	0	0	0	0
lcl|NC_030668.1_cds_XP_017632429.1_13548	0	0	0	0	0	0
lcl|NC_030668.1_cds_XP_017632430.1_13549	0	0	0	0	0	0
lcl|NC_030668.1_cds_XP_017631806.1_13550	59	47	103	87	108	84
lcl|NC_030668.1_cds_XP_017631770.1_13552	335	211	455	341	509	281
lcl|NC_030668.1_cds_XP_017632352.1_13553	107	43	114	114	90	33
lcl|NC_030668.1_cds_XP_017631988.1_13555	965	633	827	525	278	182
lcl|NC_030668.1_cds_XP_017632945.1_13556	8	3	0	2	0	1
lcl|NC_030668.1_cds_XP_017632947.1_13558	4	6	0	0	4	1
lcl|NC_030668.1_cds_XP_017632948.1_13559	1	1	1	0	0	2
lcl|NC_030668.1_cds_XP_017633493.1_13560	670	425	701	457	499	373
lcl|NC_030668.1_cds_XP_017632431.1_13563	0	0	1	1	0	1
lcl|NC_030668.1_cds_XP_017633294.1_13564	16	8	13	20	12	5
lcl|NC_030668.1_cds_XP_017632432.1_13565	1	0	0	1	3	2
lcl|NC_030668.1_cds_XP_017633733.1_13566	198	100	198	123	226	168
lcl|NC_030668.1_cds_XP_017633889.1_13567	463	281	497	373	478	305
lcl|NC_030668.1_cds_XP_017631884.1_13568	37	26	49	53	109	57
lcl|NC_030668.1_cds_XP_017632214.1_13570	403	324	321	211	298	197
lcl|NC_030668.1_cds_XP_017633277.1_13571	7	0	57	52	157	53
lcl|NC_030668.1_cds_XP_017631772.1_13572	2861	1686	1377	1126	2681	1738
lcl|NC_030668.1_cds_XP_017633264.1_13573	6	3	19	23	7	6
lcl|NC_030668.1_cds_XP_017632433.1_13574	0	0	0	0	0	0
lcl|NC_030668.1_cds_XP_017632435.1_13575	0	0	0	0	0	0
lcl|NC_030668.1_cds_XP_017633807.1_13577	217	145	151	129	169	106
lcl|NC_030668.1_cds_XP_017632437.1_13578	1	1	2	1	1	0
lcl|NC_030668.1_cds_XP_017632258.1_13579	2450	1587	655	499	2650	1679
lcl|NC_030668.1_cds_XP_017633978.1_13580	1818	1271	472	508	1408	839
lcl|NC_030668.1_cds_XP_017632348.1_13581	12	9	14	10	16	7
lcl|NC_030668.1_cds_XP_017634159.1_13584	21	19	25	13	10	14
lcl|NC_030668.1_cds_XP_017634165.1_13585	22	8	13	18	7	9
lcl|NC_030668.1_cds_XP_017632941.1_13591	43	42	100	59	129	65
lcl|NC_030668.1_cds_XP_017633258.1_13592	0	1	2	1	2	1
lcl|NC_030668.1_cds_XP_017633453.1_13593	139	79	93	91	166	122
lcl|NC_030668.1_cds_XP_017633454.1_13594	122	99	84	74	119	100
lcl|NC_030668.1_cds_XP_017633719.1_13595	208	154	681	475	778	503
lcl|NC_030668.1_cds_XP_017633969.1_13597	405	286	332	288	307	213
lcl|NC_030668.1_cds_XP_017632424.1_13598	434	272	200	181	405	315
lcl|NC_030668.1_cds_XP_017631956.1_13599	479	304	95	58	537	402
lcl|NC_030668.1_cds_XP_017632410.1_13600	10	10	9	7	37	20
lcl|NC_030668.1_cds_XP_017632409.1_13602	8	2	7	6	4	10
lcl|NC_030668.1_cds_XP_017633697.1_13603	73	51	65	86	89	41
lcl|NC_030668.1_cds_XP_017633698.1_13604	40	33	64	66	26	18
lcl|NC_030668.1_cds_XP_017633696.1_13605	130	51	118	80	324	238
lcl|NC_030668.1_cds_XP_017632096.1_13606	73	36	25	7	40	51
lcl|NC_030668.1_cds_XP_017632098.1_13608	41	23	15	4	19	18
lcl|NC_030668.1_cds_XP_017633127.1_13609	3	3	4	12	1	0
lcl|NC_030668.1_cds_XP_017632438.1_13610	31	13	16	5	9	6
lcl|NC_030668.1_cds_XP_017632201.1_13611	9	3	4	2	0	0
lcl|NC_030668.1_cds_XP_017633291.1_13612	0	1	2	0	0	0
lcl|NC_030668.1_cds_XP_017632204.1_13613	22	17	19	9	20	10
lcl|NC_030668.1_cds_XP_017632203.1_13616	18	9	6	8	5	5
lcl|NC_030668.1_cds_XP_017632146.1_13617	98	37	103	74	70	49
lcl|NC_030668.1_cds_XP_017634038.1_13618	181	138	257	174	227	128
lcl|NC_030668.1_cds_XP_017632399.1_13619	4	3	3	1	8	3
lcl|NC_030668.1_cds_XP_017634061.1_13620	123	68	161	119	104	63
lcl|NC_030668.1_cds_XP_017634060.1_13621	175	100	211	136	157	85
lcl|NC_030668.1_cds_XP_017631903.1_13622	60	24	86	70	95	57
lcl|NC_030668.1_cds_XP_017632232.1_13623	140	76	137	147	123	72
lcl|NC_030668.1_cds_XP_017632858.1_13624	287	147	205	512	87	36
lcl|NC_030668.1_cds_XP_017632439.1_13625	0	0	1	0	0	0
lcl|NC_030668.1_cds_XP_017632440.1_13626	5	2	9	8	13	6
lcl|NC_030668.1_cds_XP_017633166.1_13627	3	2	6	8	1	2
lcl|NC_030668.1_cds_XP_017633468.1_13628	256	191	242	181	247	174
lcl|NC_030668.1_cds_XP_017632441.1_13630	0	0	0	0	0	0
lcl|NC_030668.1_cds_XP_017631803.1_13631	46	25	46	26	55	23
lcl|NC_030668.1_cds_XP_017633167.1_13632	0	0	2	4	0	0
lcl|NC_030668.1_cds_XP_017632400.1_13633	67	34	45	28	76	74
lcl|NC_030668.1_cds_XP_017632335.1_13634	20	17	8	17	25	10
lcl|NC_030668.1_cds_XP_017633032.1_13635	3	5	21	22	0	1
lcl|NC_030668.1_cds_XP_017632442.1_13636	0	0	0	0	0	0
lcl|NC_030668.1_cds_XP_017633586.1_13637	276	201	323	157	191	122
lcl|NC_030668.1_cds_XP_017633956.1_13639	171	129	157	119	161	101
lcl|NC_030668.1_cds_XP_017632444.1_13640	1	3	0	2	0	0
lcl|NC_030668.1_cds_XP_017632090.1_13641	153	47	46	25	249	168
lcl|NC_030668.1_cds_XP_017632445.1_13642	0	0	0	0	0	0
lcl|NC_030668.1_cds_XP_017632363.1_13644	23	15	3	4	4	2
lcl|NC_030668.1_cds_XP_017632401.1_13645	5	0	1	1	0	1
lcl|NC_030668.1_cds_XP_017633092.1_13646	1	1	3	6	2	2
lcl|NC_030668.1_cds_XP_017632023.1_13647	56	37	59	26	85	57
lcl|NC_030668.1_cds_XP_017634043.1_13648	365	204	220	157	372	293
lcl|NC_030668.1_cds_XP_017632276.1_13650	13	4	17	10	16	18
lcl|NC_030668.1_cds_XP_017632277.1_13651	13	10	13	14	30	19
lcl|NC_030668.1_cds_XP_017632230.1_13652	43	37	36	23	39	17
lcl|NC_030668.1_cds_XP_017631783.1_13653	610	350	219	131	140	109
lcl|NC_030668.1_cds_XP_017632245.1_13654	313	235	225	202	333	171
lcl|NC_030668.1_cds_XP_017633161.1_13655	7	4	2	2	2	0
lcl|NC_030668.1_cds_XP_017633734.1_13656	615	433	748	490	412	420
lcl|NC_030668.1_cds_XP_017634055.1_13657	127	70	45	81	91	50
lcl|NC_030668.1_cds_XP_017634145.1_13659	103	60	106	81	107	93
lcl|NC_030668.1_cds_XP_017632446.1_13662	0	0	0	0	0	0
lcl|NC_030668.1_cds_XP_017632447.1_13663	1	0	0	0	0	0
lcl|NC_030668.1_cds_XP_017631985.1_13664	60	28	91	80	75	57
