GENE	G_arboreum%G_a_rep1	G_arboreum%G_a_rep2	G_arboreum_x_raimondii%G_HH_rep1	G_arboreum_x_raimondii%G_HH_rep2	G_raimondii%G_r_rep1	G_raimondii%G_r_rep2
lcl|NC_030664.1_cds_XP_017629337.1_109	215	84	47	50	198	167
lcl|NC_030664.1_cds_XP_017642460.1_111	18	14	32	47	44	17
lcl|NC_030664.1_cds_XP_017606058.1_112	60	38	106	81	60	39
lcl|NC_030664.1_cds_XP_017606065.1_113	40	25	30	11	18	12
lcl|NC_030664.1_cds_XP_017629610.1_114	15	11	8	2	8	2
lcl|NC_030664.1_cds_XP_017629620.1_115	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017609008.1_116	179	162	187	102	241	194
lcl|NC_030664.1_cds_XP_017627276.1_117	85	54	264	204	267	213
lcl|NC_030664.1_cds_XP_017623751.1_118	185	117	129	140	128	96
lcl|NC_030664.1_cds_XP_017629630.1_119	3	1	1	1	3	2
lcl|NC_030664.1_cds_XP_017618852.1_120	81	43	54	29	86	53
lcl|NC_030664.1_cds_XP_017647732.1_122	1	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629649.1_123	6	6	10	7	6	9
lcl|NC_030664.1_cds_XP_017638339.1_124	283	160	390	273	301	171
lcl|NC_030664.1_cds_XP_017644551.1_125	493	338	122	106	174	106
lcl|NC_030664.1_cds_XP_017625745.1_126	0	4	9	7	0	1
lcl|NC_030664.1_cds_XP_017625087.1_127	111	75	207	201	130	120
lcl|NC_030664.1_cds_XP_017629660.1_128	4	1	8	6	9	4
lcl|NC_030664.1_cds_XP_017617121.1_129	99	58	100	141	61	26
lcl|NC_030664.1_cds_XP_017622717.1_130	28	15	54	49	38	40
lcl|NC_030664.1_cds_XP_017643343.1_132	16	8	10	15	24	16
lcl|NC_030664.1_cds_XP_017608271.1_135	283	211	395	463	303	161
lcl|NC_030664.1_cds_XP_017612113.1_136	80	50	89	78	83	68
lcl|NC_030664.1_cds_XP_017642841.1_139	32	17	35	30	52	34
lcl|NC_030664.1_cds_XP_017642801.1_140	10	13	38	44	62	32
lcl|NC_030664.1_cds_XP_017646334.1_142	3	0	1	0	0	0
lcl|NC_030664.1_cds_XP_017639948.1_143	9	11	14	14	18	8
lcl|NC_030664.1_cds_XP_017626861.1_144	106	59	149	58	109	62
lcl|NC_030664.1_cds_XP_017628099.1_145	45	37	50	51	71	28
lcl|NC_030664.1_cds_XP_017609283.1_147	98	62	108	71	80	70
lcl|NC_030664.1_cds_XP_017646363.1_148	21	12	34	61	13	6
lcl|NC_030664.1_cds_XP_017649929.1_150	126	46	112	137	64	51
lcl|NC_030664.1_cds_XP_017649943.1_151	6	1	1	3	13	4
lcl|NC_030664.1_cds_XP_017649954.1_152	3488	2133	1097	1224	1981	1284
lcl|NC_030664.1_cds_XP_017629671.1_153	0	3	1	0	0	0
lcl|NC_030664.1_cds_XP_017649968.1_154	2047	1654	2127	1952	1868	1009
lcl|NC_030664.1_cds_XP_017644275.1_155	14	0	15	23	5	4
lcl|NC_030664.1_cds_XP_017629681.1_156	0	0	2	3	0	0
lcl|NC_030664.1_cds_XP_017647708.1_157	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017623995.1_158	452	297	498	384	696	456
lcl|NC_030664.1_cds_XP_017627637.1_159	0	0	0	1	1	0
lcl|NC_030664.1_cds_XP_017607020.1_160	410	286	494	315	370	336
lcl|NC_030664.1_cds_XP_017612729.1_161	4	0	0	3	4	1
lcl|NC_030664.1_cds_XP_017612719.1_162	73	37	66	81	78	44
lcl|NC_030664.1_cds_XP_017625503.1_163	129	92	115	168	127	47
lcl|NC_030664.1_cds_XP_017643544.1_164	3	4	11	15	3	3
lcl|NC_030664.1_cds_XP_017643554.1_165	3	0	9	2	1	0
lcl|NC_030664.1_cds_XP_017622342.1_166	24	22	18	24	10	12
lcl|NC_030664.1_cds_XP_017612677.1_169	181	117	236	162	273	181
lcl|NC_030664.1_cds_XP_017631914.1_170	321	187	258	302	117	74
lcl|NC_030664.1_cds_XP_017605275.1_171	32	19	30	29	21	12
lcl|NC_030664.1_cds_XP_017629704.1_172	1	0	0	1	2	0
lcl|NC_030664.1_cds_XP_017640323.1_173	903	591	218	282	1045	563
lcl|NC_030664.1_cds_XP_017612708.1_174	135	96	121	115	159	91
lcl|NC_030664.1_cds_XP_017612580.1_175	138	96	86	85	169	106
lcl|NC_030664.1_cds_XP_017624183.1_176	322	144	160	111	120	131
lcl|NC_030664.1_cds_XP_017645369.1_177	5	0	16	0	20	5
lcl|NC_030664.1_cds_XP_017602790.1_178	1759	1044	1659	1134	2867	1957
lcl|NC_030664.1_cds_XP_017602778.1_179	257	214	317	172	241	199
lcl|NC_030664.1_cds_XP_017606145.1_180	596	398	577	267	449	304
lcl|NC_030664.1_cds_XP_017640538.1_181	286	241	142	158	123	68
lcl|NC_030664.1_cds_XP_017629715.1_182	6	3	3	5	1	0
lcl|NC_030664.1_cds_XP_017640101.1_183	49	41	70	48	34	36
lcl|NC_030664.1_cds_XP_017644560.1_184	0	0	2	0	0	0
lcl|NC_030664.1_cds_XP_017644515.1_185	24	6	13	33	21	9
lcl|NC_030664.1_cds_XP_017639660.1_186	6	13	28	31	1	1
lcl|NC_030664.1_cds_XP_017614086.1_187	184	99	223	134	200	164
lcl|NC_030664.1_cds_XP_017642541.1_190	1	0	4	10	5	1
lcl|NC_030664.1_cds_XP_017645661.1_191	126	88	146	95	179	98
lcl|NC_030664.1_cds_XP_017604689.1_192	307	189	299	164	259	262
lcl|NC_030664.1_cds_XP_017629724.1_195	2	1	2	8	0	0
lcl|NC_030664.1_cds_XP_017609729.1_196	194	121	51	75	50	39
lcl|NC_030664.1_cds_XP_017625874.1_197	82	58	81	71	74	55
lcl|NC_030664.1_cds_XP_017622527.1_198	8	6	13	7	11	1
lcl|NC_030664.1_cds_XP_017622519.1_199	8	9	11	12	13	7
lcl|NC_030664.1_cds_XP_017636328.1_200	50	42	62	54	104	65
lcl|NC_030664.1_cds_XP_017636397.1_201	61	32	73	58	88	63
lcl|NC_030664.1_cds_XP_017604393.1_203	483	247	271	296	419	450
lcl|NC_030664.1_cds_XP_017604454.1_207	533	258	323	310	300	189
lcl|NC_030664.1_cds_XP_017604447.1_208	294	216	312	244	455	274
lcl|NC_030664.1_cds_XP_017647700.1_209	13	8	14	2	1	0
lcl|NC_030664.1_cds_XP_017622593.1_210	29	18	41	40	36	16
lcl|NC_030664.1_cds_XP_017622600.1_211	23	19	32	31	32	17
lcl|NC_030664.1_cds_XP_017639792.1_212	111	60	72	113	139	78
lcl|NC_030664.1_cds_XP_017639823.1_213	63	59	18	19	56	50
lcl|NC_030664.1_cds_XP_017648932.1_214	5	3	1	4	1	1
lcl|NC_030664.1_cds_XP_017648906.1_215	5	2	6	1	3	4
lcl|NC_030664.1_cds_XP_017648913.1_216	3	3	2	4	7	2
lcl|NC_030664.1_cds_XP_017648944.1_217	107	28	234	745	49	55
lcl|NC_030664.1_cds_XP_017648885.1_218	775	554	1708	1254	674	481
lcl|NC_030664.1_cds_XP_017611982.1_220	664	439	453	451	1164	700
lcl|NC_030664.1_cds_XP_017611970.1_222	74	58	62	54	41	42
lcl|NC_030664.1_cds_XP_017627049.1_223	941	558	417	406	462	255
lcl|NC_030664.1_cds_XP_017608870.1_224	336	233	306	269	261	175
lcl|NC_030664.1_cds_XP_017626150.1_225	26	15	10	5	0	3
lcl|NC_030664.1_cds_XP_017644867.1_226	61	27	23	40	90	50
lcl|NC_030664.1_cds_XP_017629734.1_227	0	2	1	0	0	0
