GENE	G_arboreum	G_arboreum+N	G_raimondii	G_raimondii+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
lcl|NC_030664.1_cds_XP_017629588.1_101	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017605987.1_102	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017631512.1_103	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017625327.1_104	0	0	0	0	0	0	2	0
lcl|NC_030664.1_cds_XP_017639784.1_106	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017642497.1_107	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017649736.1_108	0	0	0	0	0	0	3	0
lcl|NC_030664.1_cds_XP_017629337.1_109	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017642460.1_111	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606058.1_112	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606065.1_113	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629610.1_114	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629620.1_115	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017609008.1_116	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017627276.1_117	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017623751.1_118	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629630.1_119	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017618852.1_120	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647732.1_122	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629649.1_123	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017638339.1_124	0	0	0	0	0	0	6	0
lcl|NC_030664.1_cds_XP_017644551.1_125	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017625745.1_126	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017625087.1_127	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629660.1_128	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017617121.1_129	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017622717.1_130	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017643343.1_132	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017608271.1_135	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017612113.1_136	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017642841.1_139	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017642801.1_140	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017646334.1_142	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639948.1_143	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017626861.1_144	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017628099.1_145	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017609283.1_147	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017646363.1_148	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017649929.1_150	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017649943.1_151	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017649954.1_152	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017629671.1_153	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017649968.1_154	0	0	0	0	0	0	16	0
lcl|NC_030664.1_cds_XP_017644275.1_155	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629681.1_156	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647708.1_157	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017623995.1_158	0	0	0	0	0	0	3	0
lcl|NC_030664.1_cds_XP_017627637.1_159	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017607020.1_160	0	0	0	0	0	0	3	0
lcl|NC_030664.1_cds_XP_017612729.1_161	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017612719.1_162	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017625503.1_163	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017643544.1_164	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017643554.1_165	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017622342.1_166	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017612677.1_169	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017631914.1_170	0	0	0	0	0	0	2	0
lcl|NC_030664.1_cds_XP_017605275.1_171	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629704.1_172	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017640323.1_173	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017612708.1_174	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017612580.1_175	0	0	0	0	0	0	0	0
